date;date(m/d/y);time;day;concentration;chloride_80ft(mg/L);chloride_1100ft(mg/L);CL2_80ft(PPM);CL2_1100ft(PPM);DO_YSI_80ft(mg/L);DO_YSI_1100ft(mg/L);FreeClorine_ATI_80ft(PPM);FreeClorine_ATI_1100ft(PPM);ORP_YSI_80ft(mV);ORP_YSI_1100ft(mV);pH_YSI_80ft;pH_YSI_1100ft;sp_cond_YSI_80ft(µS/cm);sp_cond_YSI_1100ft(µS/cm);turbidity_YSI_80ft(NTU+);turbidity_YSI_1100ft(NTU+)
1/06/05 10:55;1/06/05;10.55;1;0.0;52.32;61.01;1.04;1.06;5.49;11.55;0.9;0.86;648;752;8.06;8.54;370;0.0;0.5;0.0
1/06/05 10:56;1/06/05;10.56;1;0.0;52.33;61.03;1.04;1.07;5.49;11.62;0.9;0.86;648;752;8.07;8.55;370;0.0;0.5;0.0
1/06/05 10:57;1/06/05;10.57;1;0.0;52.01;61.07;1.04;1.07;5.49;11.56;0.9;0.86;647;752;8.06;8.55;370;0.0;0.5;0.0
1/06/05 10:58;1/06/05;10.58;1;0.0;52.41;61.11;1.04;1.07;5.49;11.62;0.9;0.86;647;752;8.07;8.55;370;0.0;0.5;0.0
1/06/05 10:59;1/06/05;10.59;1;0.0;52.36;61.16;1.04;1.07;5.5;11.56;0.9;0.86;647;752;8.07;8.55;370;0.0;0.5;0.0
1/06/05 11:00;1/06/05;11.00;1;0.0;53.28;62.7;1.05;1.06;5.49;11.59;0.9;0.86;646;751;8.07;8.56;370;0.0;0.5;0.0
1/06/05 11:01;1/06/05;11.01;1;0.0;52.48;62.8;1.04;1.07;5.5;11.55;0.9;0.86;647;751;8.06;8.56;370;0.0;0.4;0.1
1/06/05 11:02;1/06/05;11.02;1;0.0;52.21;61.22;1.04;1.07;5.5;11.58;0.9;0.86;647;751;8.06;8.56;370;0.0;0.4;0.0
1/06/05 11:03;1/06/05;11.03;1;0.0;52.56;61.33;1.04;1.07;5.5;11.66;0.9;0.86;647;751;8.06;8.56;370;0.0;0.5;0.1
1/06/05 11:04;1/06/05;11.04;1;0.0;52.58;61.33;1.04;1.07;5.5;11.7;0.9;0.86;647;751;8.07;8.56;370;0.0;0.5;0.1
1/06/05 11:05;1/06/05;11.05;1;0.0;52.58;61.43;1.04;1.07;5.5;11.6;0.9;0.86;648;751;8.07;8.56;370;0.0;0.5;0.1
1/06/05 11:06;1/06/05;11.06;1;0.0;52.6;61.45;1.04;1.07;5.5;11.61;0.9;0.86;648;751;8.07;8.56;370;0.0;0.5;0.1
1/06/05 11:07;1/06/05;11.07;1;0.0;52.23;61.39;1.04;1.07;5.5;11.63;0.9;0.86;649;751;8.07;8.56;370;0.0;0.5;0.1
1/06/05 11:08;1/06/05;11.08;1;0.0;52.59;61.43;1.04;1.07;5.5;11.59;0.9;0.86;649;751;8.07;8.56;370;0.0;0.5;0.2
1/06/05 11:09;1/06/05;11.09;1;0.0;52.56;61.39;1.04;1.07;5.5;11.56;0.9;0.86;649;751;8.07;8.56;370;0.0;0.4;0.2
1/06/05 11:10;1/06/05;11.10;1;0.0;52.59;61.44;1.04;1.07;5.5;11.58;0.9;0.86;649;751;8.07;8.57;370;0.0;0.5;0.2
1/06/05 11:11;1/06/05;11.11;1;0.0;52.67;61.5;1.05;1.07;5.5;11.64;0.9;0.86;649;750;8.07;8.56;370;0.0;0.5;0.2
1/06/05 11:12;1/06/05;11.12;1;0.0;52.31;61.59;1.04;1.07;5.5;11.6;0.9;0.86;649;750;8.07;8.57;370;0.0;0.5;0.2
1/06/05 11:13;1/06/05;11.13;1;0.0;52.67;61.57;1.05;1.06;5.5;11.6;0.9;0.86;649;750;8.07;8.57;370;0.0;0.5;0.1
1/06/05 11:14;1/06/05;11.14;1;0.0;52.74;61.61;1.04;1.07;5.5;11.68;0.9;0.86;648;750;8.07;8.57;370;0.0;0.5;0.1
1/06/05 11:15;1/06/05;11.15;1;0.0;52.88;61.59;1.04;1.07;5.51;11.58;0.9;0.86;649;750;8.07;8.57;370;0.0;0.5;0.1
1/06/05 11:16;1/06/05;11.16;1;0.0;52.81;63.25;1.04;1.06;5.5;11.6;0.9;0.86;648;750;8.08;8.58;370;0.0;0.5;0.1
1/06/05 11:17;1/06/05;11.17;1;0.0;52.45;61.64;1.04;1.06;5.51;11.55;0.9;0.86;648;750;8.1;8.57;370;0.0;0.5;0.1
1/06/05 11:18;1/06/05;11.18;1;0.0;52.82;61.67;1.04;1.06;5.51;11.64;0.9;0.86;647;750;8.09;8.57;370;0.0;0.5;0.1
1/06/05 11:19;1/06/05;11.19;1;0.0;52.8;61.67;1.05;1.07;5.51;11.6;0.9;0.86;647;750;8.09;8.58;370;0.0;0.5;0.1
1/06/05 11:20;1/06/05;11.20;1;0.0;52.65;61.73;1.04;1.07;5.5;11.67;0.9;0.86;646;750;8.08;8.57;370;0.0;0.5;0.1
1/06/05 11:21;1/06/05;11.21;1;0.0;52.86;61.75;1.04;1.07;5.51;11.64;0.9;0.85;646;749;8.09;8.58;370;0.0;0.5;0.1
1/06/05 11:22;1/06/05;11.22;1;0.0;52.5;61.77;1.04;1.07;5.51;11.72;0.9;0.86;646;749;8.08;8.58;370;0.0;0.5;0.1
1/06/05 11:23;1/06/05;11.23;1;0.0;52.83;61.85;1.04;1.07;5.51;11.68;0.9;0.86;646;749;8.08;8.58;370;0.0;0.5;0.0
1/06/05 11:24;1/06/05;11.24;1;0.0;52.92;61.89;1.04;1.07;5.51;11.6;0.9;0.86;646;749;8.08;8.58;370;0.0;0.5;0.0
1/06/05 11:25;1/06/05;11.25;1;0.2;52.89;63.28;1.04;1.06;5.51;11.63;0.9;0.86;647;749;8.08;8.58;370;0.0;0.6;0.0
1/06/05 11:26;1/06/05;11.26;1;0.2;52.97;61.85;1.04;1.06;5.51;11.64;0.9;0.86;646;749;8.07;8.58;370;0.0;0.5;0.0
1/06/05 11:27;1/06/05;11.27;1;0.2;52.51;61.82;1.04;1.06;5.51;11.64;0.9;0.85;646;749;8.08;8.58;370;0.0;0.5;0.0
1/06/05 11:28;1/06/05;11.28;1;0.2;52.91;61.86;1.04;1.06;5.5;11.76;0.9;0.85;646;749;8.07;8.58;370;0.0;0.5;0.0
1/06/05 11:29;1/06/05;11.29;1;0.2;52.85;61.99;1.04;1.07;5.5;11.6;0.9;0.85;645;749;8.08;8.59;370;0.0;0.6;0.0
1/06/05 11:30;1/06/05;11.30;1;0.2;52.88;61.94;1.04;1.07;5.51;11.54;0.87;0.85;645;749;8.07;8.58;370;0.0;0.5;0.0
1/06/05 11:31;1/06/05;11.31;1;0.2;53.34;63.54;1.04;1.07;5.5;11.58;0.84;0.85;645;749;8.08;8.59;370;0.0;0.5;0.0
1/06/05 11:32;1/06/05;11.32;1;0.2;52.62;61.96;1.04;1.06;5.5;11.71;0.83;0.85;645;749;8.07;8.59;370;0.0;0.5;0.0
1/06/05 11:33;1/06/05;11.33;1;0.2;53.04;61.99;0.99;1.06;5.5;11.6;0.83;0.85;644;749;8.07;8.59;370;0.0;0.5;0.1
1/06/05 11:34;1/06/05;11.34;1;0.2;53.02;61.96;0.99;1.06;5.5;11.62;0.82;0.85;644;749;8.07;8.59;370;0.0;0.5;0.1
1/06/05 11:35;1/06/05;11.35;1;0.2;52.96;61.93;0.96;1.06;5.5;11.71;0.83;0.85;644;749;8.08;8.59;370;0.0;0.5;0.1
1/06/05 11:36;1/06/05;11.36;1;0.2;53.00;62.01;0.96;1.07;5.5;11.65;0.82;0.85;644;748;8.08;8.59;370;0.0;0.5;0.1
