date;date(m/d/y);time;day;concentration;chloride_80ft(mg/L);chloride_1100ft(mg/L);CL2_80ft(PPM);CL2_1100ft(PPM);DO_YSI_80ft(mg/L);DO_YSI_1100ft(mg/L);FreeClorine_ATI_80ft(PPM);FreeClorine_ATI_1100ft(PPM);ORP_YSI_80ft(mV);ORP_YSI_1100ft(mV);pH_YSI_80ft;pH_YSI_1100ft;sp_cond_YSI_80ft(µS/cm);sp_cond_YSI_1100ft(µS/cm);turbidity_YSI_80ft(NTU+);turbidity_YSI_1100ft(NTU+)
3/11/05 11:25;3/11/05;11.25;1;0.0;25.24;30.37;1.16;1.17;11.81;11.48;1.06;0.99;675;736;8.76;8.84;339;338;0.5;-0.7
3/11/05 11:26;3/11/05;11.26;1;0.0;25.24;30.38;1.16;1.18;11.81;11.48;1.06;0.99;675;736;8.76;8.84;339;338;0.5;-0.7
3/11/05 11:27;3/11/05;11.27;1;0.0;25.23;30.38;1.16;1.18;11.81;11.48;1.05;0.99;675;736;8.76;8.84;339;338;0.6;-0.7
3/11/05 11:28;3/11/05;11.28;1;0.0;25.23;30.41;1.16;1.17;11.8;11.48;1.05;0.99;675;736;8.76;8.84;339;338;0.6;-0.7
3/11/05 11:29;3/11/05;11.29;1;0.0;25.25;30.4;1.16;1.18;11.8;11.49;1.05;0.99;675;736;8.76;8.84;339;338;0.5;-0.7
3/11/05 11:30;3/11/05;11.30;1;0.0;25.26;30.4;1.16;1.17;11.8;11.49;1.06;0.99;675;736;8.76;8.84;339;338;0.5;-0.7
3/11/05 11:31;3/11/05;11.31;1;0.0;25.26;30.39;1.16;1.17;11.82;11.49;1.05;0.99;675;737;8.76;8.84;339;338;0.5;-0.7
3/11/05 11:32;3/11/05;11.32;1;0.0;25.28;30.36;1.16;1.17;11.82;11.49;1.06;0.99;675;737;8.76;8.84;339;338;0.6;-0.7
3/11/05 11:33;3/11/05;11.33;1;0.0;25.23;30.34;1.16;1.17;11.82;11.49;1.05;0.99;675;737;8.76;8.85;339;338;0.6;-0.7
3/11/05 11:34;3/11/05;11.34;1;0.0;25.23;30.34;1.16;1.17;11.83;11.48;1.06;0.99;675;737;8.76;8.84;339;338;0.6;-0.7
3/11/05 11:35;3/11/05;11.35;1;0.0;25.26;30.36;1.16;1.17;11.81;11.49;1.05;0.99;675;737;8.76;8.84;339;338;0.6;-0.7
3/11/05 11:36;3/11/05;11.36;1;0.0;25.26;30.32;1.16;1.18;11.8;11.48;1.06;0.98;675;737;8.77;8.84;339;338;0.5;-0.7
3/11/05 11:37;3/11/05;11.37;1;0.0;25.27;30.34;1.16;1.17;11.8;11.48;1.05;0.98;675;737;8.76;8.84;339;338;0.6;-0.7
3/11/05 11:38;3/11/05;11.38;1;0.0;25.24;30.36;1.16;1.17;11.8;11.48;1.05;0.98;675;737;8.77;8.85;339;338;0.6;-0.7
3/11/05 11:39;3/11/05;11.39;1;0.0;25.22;30.38;1.16;1.17;11.8;11.49;1.06;0.98;675;737;8.76;8.84;339;338;0.6;-0.7
3/11/05 11:40;3/11/05;11.40;1;0.0;25.27;30.32;1.16;1.17;11.81;11.48;1.06;0.98;675;737;8.76;8.85;339;337;0.6;-0.7
3/11/05 11:41;3/11/05;11.41;1;0.0;25.26;30.28;1.16;1.17;11.81;11.48;1.06;0.98;675;737;8.76;8.85;338;338;0.5;-0.7
3/11/05 11:42;3/11/05;11.42;1;0.0;25.26;30.28;1.16;1.18;11.82;11.48;1.06;0.98;675;737;8.76;8.85;339;337;0.6;-0.7
