date;date(m/d/y);time;day;concentration;chloride_80ft(mg/L);chloride_1100ft(mg/L);difference_chloride;CL2_80ft(PPM);CL2_1100ft(PPM);difference_CL2;DO_YSI_80ft(mg/L);DO_YSI_1100ft(mg/L);difference_DO_YSI;FreeClorine_ATI_80ft(PPM);FreeClorine_ATI_1100ft(PPM);difference_FreeClorine_ATI;FreeClorine_X_80ft(PPM);FreeClorine_X_1100ft(PPM);difference_FreeClorine_X;ORP_YSI_80ft(mV);ORP_YSI_1100ft(mV);difference_ORP_YSI;pH_YSI_80ft;pH_YSI_1100ft;difference_pH;sp_cond_YSI_80ft(µS/cm);sp_cond_YSI_1100ft(µS/cm);difference_sp_cond_YSI;turbidity_YSI_80ft(NTU+);turbidity_YSI_1100ft(NTU+);difference_turbidity
25/01/05 12:30;25/01/05;12.30;1;0.0;16.33;17.02;0.69;1.02;1.05;0.03;14.39;13.17;-1.22;0.90;0.86;-0.04;0.90;0.90;0.00;672;747;75;7.23;8.68;1.45;281;284;3;0.5;0.1;-0.4
25/01/05 12:31;25/01/05;12.31;1;0.0;16.39;17.12;0.73;1.02;1.05;0.03;14.47;13.20;-1.27;0.90;0.86;-0.04;0.91;0.89;-0.02;672;747;75;7.22;8.67;1.45;281;283;2;0.8;0.1;-0.7
25/01/05 12:32;25/01/05;12.32;1;0.0;16.39;17.12;0.73;1.02;1.05;0.03;14.41;13.25;-1.16;0.90;0.86;-0.04;0.91;0.89;-0.02;672;747;75;7.22;8.68;1.46;281;283;2;0.8;0.1;-0.7
25/01/05 12:33;25/01/05;12.33;1;0.0;16.38;17.11;0.73;1.02;1.04;0.02;14.46;13.19;-1.27;0.90;0.86;-0.04;0.91;0.89;-0.02;671;747;76;7.22;8.68;1.46;281;283;2;0.8;0.1;-0.7
25/01/05 12:34;25/01/05;12.34;1;0.0;16.39;17.03;0.64;1.02;1.04;0.02;14.49;13.20;-1.29;0.90;0.86;-0.04;0.91;0.90;-0.01;671;747;76;7.22;8.68;1.46;281;284;3;0.7;0.1;-0.6
25/01/05 12:36;25/01/05;12.36;1;0.0;16.40;16.93;0.53;1.02;1.05;0.03;14.47;13.24;-1.23;0.90;0.86;-0.04;0.91;0.90;-0.01;672;748;76;7.22;8.67;1.45;281;283;2;0.7;0.1;-0.6
25/01/05 12:37;25/01/05;12.37;1;0.0;16.41;17.02;0.61;1.02;1.05;0.03;14.45;13.26;-1.19;0.90;0.86;-0.04;0.90;0.89;-0.01;671;747;76;7.22;8.68;1.46;281;284;3;0.8;0.1;-0.7
25/01/05 12:38;25/01/05;12.38;1;0.0;16.43;17.02;0.59;1.02;1.04;0.02;14.48;13.28;-1.2;0.90;0.86;-0.04;0.91;0.89;-0.02;671;748;77;7.22;8.68;1.46;281;284;3;0.8;0.1;-0.7
25/01/05 12:39;25/01/05;12.39;1;0.0;16.41;17.10;0.69;1.02;1.04;0.02;14.45;13.29;-1.16;0.90;0.86;-0.04;0.91;0.89;-0.02;671;747;76;7.23;8.67;1.44;281;283;2;0.7;0.0;-0.7
25/01/05 12:40;25/01/05;12.40;1;0.0;16.35;17.02;0.67;1.02;1.04;0.02;14.50;13.23;-1.27;0.90;0.86;-0.04;0.89;0.89;0.00;671;747;76;7.22;8.68;1.46;281;284;3;0.4;0.0;-0.4
25/01/05 12:41;25/01/05;12.41;1;0.0;16.40;17.03;0.63;1.02;1.04;0.02;14.49;13.25;-1.24;0.90;0.86;-0.04;0.91;0.90;-0.01;671;747;76;7.23;8.68;1.45;281;284;3;0.7;0.0;-0.7
25/01/05 12:42;25/01/05;12.42;1;0.0;16.41;17.01;0.6;1.02;1.04;0.02;14.46;13.29;-1.17;0.90;0.86;-0.04;0.91;0.90;-0.01;671;747;76;7.22;8.67;1.45;281;284;3;0.7;0.0;-0.7
25/01/05 12:43;25/01/05;12.43;1;0.0;16.40;17.00;0.6;1.02;1.04;0.02;14.51;13.21;-1.3;0.90;0.86;-0.04;0.91;0.89;-0.02;671;747;76;7.23;8.68;1.45;281;284;3;0.7;0.0;-0.7
25/01/05 12:44;25/01/05;12.44;1;0.0;16.41;17.10;0.69;1.02;1.04;0.02;14.46;13.25;-1.21;0.90;0.86;-0.04;0.92;0.89;-0.03;671;747;76;7.23;8.68;1.45;281;283;2;0.7;0.0;-0.7
25/01/05 12:45;25/01/05;12.45;1;0.0;16.35;17.01;0.66;1.02;1.05;0.03;14.44;13.25;-1.19;0.90;0.86;-0.04;0.89;0.89;0.00;671;748;77;7.22;8.67;1.45;281;284;3;0.2;0.0;-0.2
25/01/05 12:46;25/01/05;12.46;1;0.0;16.41;17.02;0.61;1.02;1.05;0.03;14.47;13.26;-1.21;0.90;0.86;-0.04;0.91;0.90;-0.01;671;748;77;7.23;8.68;1.45;281;284;3;0.7;0.0;-0.7
25/01/05 12:47;25/01/05;12.47;1;0.0;16.41;16.93;0.52;1.02;1.05;0.03;14.49;13.27;-1.22;0.90;0.86;-0.04;0.91;0.89;-0.02;671;748;77;7.23;8.67;1.44;281;284;3;0.8;0.0;-0.8
25/01/05 12:48;25/01/05;12.48;1;0.0;16.42;17.08;0.66;1.02;1.04;0.02;14.47;13.27;-1.2;0.90;0.86;-0.04;0.92;0.90;-0.02;671;748;77;7.22;8.68;1.46;281;283;2;0.8;0.0;-0.8
25/01/05 12:49;25/01/05;12.49;1;0.0;16.42;16.93;0.51;1.02;1.04;0.02;14.49;13.26;-1.23;0.90;0.86;-0.04;0.92;0.90;-0.02;671;748;77;7.23;8.68;1.45;281;284;3;0.9;0.2;-0.7
