date(m/d/y);time;day;concentration;chloride_80ft(mg/L);chloride_1100ft(mg/L);sp_cond_80ft(µS/cm);sp_cond_1100ft(µS/cm);do_80ft(mg/L);do_1100ft(mg/L)
25/01/05;12:30;1;0.0;16.33;17.02;281;284;14.39;13.17
25/01/05;12:31;1;0.0;16.39;17.12;281;283;14.47;13.20
25/01/05;12:32;1;0.0;16.39;17.12;281;283;14.41;13.25
25/01/05;12:33;1;0.0;16.38;17.11;281;283;14.46;13.19
25/01/05;12:34;1;0.0;16.39;17.03;281;284;14.49;13.20
25/01/05;12:35;1;0.0;16.32;17.03;281;284;14.45;13.19
25/01/05;12:36;1;0.0;16.40;16.93;281;283;14.47;13.24
25/01/05;12:37;1;0.0;16.41;17.02;281;284;14.45;13.26
25/01/05;12:38;1;0.0;16.43;17.02;281;284;14.48;13.28
25/01/05;12:39;1;0.0;16.41;17.10;281;283;14.45;13.29
25/01/05;12:40;1;0.0;16.35;17.02;281;284;14.50;13.23
25/01/05;12:41;1;0.0;16.40;17.03;281;284;14.49;13.25
25/01/05;12:42;1;0.0;16.41;17.01;281;284;14.46;13.29
25/01/05;12:43;1;0.0;16.40;17.00;281;284;14.51;13.21
25/01/05;12:44;1;0.0;16.41;17.10;281;283;14.46;13.25
25/01/05;12:45;1;0.0;16.35;17.01;281;284;14.44;13.25
25/01/05;12:46;1;0.0;16.41;17.02;281;284;14.47;13.26
25/01/05;12:47;1;0.0;16.41;16.93;281;284;14.49;13.27
25/01/05;12:48;1;0.0;16.42;17.08;281;283;14.47;13.27
25/01/05;12:49;1;0.0;16.42;16.93;281;284;14.49;13.26
25/01/05;12:50;1;0.0;16.35;16.91;281;284;14.50;13.20
25/01/05;12:51;1;0.0;16.42;17.00;281;284;14.51;13.28
25/01/05;12:52;1;0.0;16.42;17.08;281;283;14.50;13.25
25/01/05;12:53;1;0.0;16.40;17.00;281;284;14.51;13.19
25/01/05;12:54;1;0.0;16.40;17.08;281;283;14.50;13.28
25/01/05;12:55;1;0.0;16.35;17.09;282;283;14.52;13.26
25/01/05;12:56;1;0.0;16.42;17.00;281;284;14.55;13.26
25/01/05;12:57;1;0.0;16.41;17.00;281;284;14.47;13.26
25/01/05;12:58;1;0.0;16.42;16.97;281;284;14.54;13.31
25/01/05;12:59;1;0.0;16.43;17.00;281;284;14.54;13.31
25/01/05;13:00;1;0.0;16.39;16.96;281;283;14.50;13.34
25/01/05;13:01;1;0.4;16.43;17.02;281;284;14.55;13.29
25/01/05;13:02;1;0.4;16.40;16.93;281;284;14.47;13.25
25/01/05;13:03;1;0.4;16.44;16.99;281;284;14.57;13.31
25/01/05;13:04;1;0.4;16.41;16.99;281;284;14.56;13.30
25/01/05;13:05;1;0.4;16.37;17.00;281;284;14.53;13.37
25/01/05;13:06;1;0.4;16.42;16.92;281;284;14.57;13.31
25/01/05;13:07;1;0.4;16.42;17.00;281;283;14.52;13.31
25/01/05;13:08;1;0.4;16.45;16.97;281;284;14.56;13.32
25/01/05;13:09;1;0.4;16.49;16.99;281;284;14.49;13.30
