param;mg/L
DO80;14.39
DO80;14.47
DO80;14.41
DO80;14.46
DO80;14.49
DO80;14.45
DO80;14.47
DO80;14.45
DO80;14.48
DO80;14.45
DO80;14.50
DO80;14.49
DO80;14.46
DO80;14.51
DO80;14.46
DO80;14.44
DO80;14.47
DO80;14.49
DO80;14.47
DO80;14.49
DO80;14.50
DO80;14.51
DO80;14.50
DO80;14.51
DO80;14.50
DO80;14.52
DO80;14.55
DO80;14.47
DO80;14.54
DO80;14.54
DO80;14.50
DO80;14.55
DO80;14.47
DO80;14.57
DO80;14.56
DO80;14.53
DO80;14.57
DO80;14.52
DO80;14.56
DO80;14.49
DO80;14.52
DO80;14.51
DO80;14.59
DO80;14.56
DO80;14.50
DO80;14.51
DO80;14.51
DO80;14.52
DO80;14.50
DO80;14.56
DO80;14.58
DO80;14.57
DO80;14.57
DO80;14.53
DO80;14.57
DO80;14.55
DO80;14.55
DO80;14.56
DO80;14.57
DO80;14.60
DO80;14.65
DO80;14.58
DO80;14.59
DO80;14.62
DO80;14.55
DO80;14.67
DO80;14.61
DO80;14.60
DO80;14.61
DO80;14.52
DO80;14.59
DO80;14.60
DO80;14.60
DO80;14.61
DO80;14.64
DO80;14.62
DO80;14.63
DO80;14.63
DO80;14.60
DO80;14.58
DO80;14.58
DO80;14.59
DO80;14.61
DO80;14.59
DO80;14.60
DO80;14.57
DO80;14.61
DO80;14.65
DO80;14.63
DO80;14.69
DO80;14.62
DO80;14.61
DO80;14.60
DO80;14.64
DO80;14.58
DO80;14.61
DO80;14.63
DO80;14.69
DO80;14.63
DO80;14.66
DO80;14.63
DO80;14.68
DO80;14.63
DO80;14.64
DO80;14.66
DO80;14.62
DO80;14.62
DO80;14.65
DO80;14.61
DO80;14.64
DO80;14.59
DO80;14.64
DO80;14.63
DO80;14.63
DO80;14.63
DO80;14.59
DO80;14.62
DO80;14.60
DO80;14.64
DO80;14.62
DO80;14.60
DO80;14.66
DO80;14.63
DO80;14.64
DO80;14.64
DO80;14.65
DO80;14.64
DO80;14.63
DO80;14.66
DO80;14.64
DO80;14.62
DO80;14.64
DO80;14.60
DO80;14.59
DO80;14.64
DO80;14.65
DO80;14.63
DO80;14.64
DO80;14.66
DO80;14.65
DO80;14.68
DO80;14.63
DO80;14.62
DO80;14.65
DO80;14.63
DO80;14.66
DO80;14.63
DO80;14.65
DO80;14.66
DO80;14.68
DO80;14.63
DO80;14.63
DO80;14.61
DO80;14.61
DO80;14.64
DO80;14.63
DO80;14.67
DO80;14.62
DO80;14.60
DO80;14.58
DO80;14.65
DO80;14.64
DO80;14.63
DO80;14.64
DO80;14.62
DO80;14.61
DO80;14.65
DO80;14.63
DO80;14.62
DO80;14.65
DO80;14.62
DO80;14.65
DO80;14.59
DO80;14.64
DO80;14.67
DO80;14.61
DO80;14.63
DO80;14.62
DO80;14.62
DO80;14.61
DO80;14.63
DO80;14.65
DO80;14.60
DO80;14.65
DO80;14.61
DO80;14.62
DO80;14.64
DO80;14.63
DO80;14.62
DO80;14.61
DO80;14.67
DO80;14.60
DO80;14.61
DO80;14.60
DO80;14.61
DO80;14.63
DO80;14.62
DO80;14.64
DO80;14.65
DO80;14.63
DO80;14.61
DO80;14.65
DO80;14.64
DO80;14.59
DO80;14.62
DO80;14.62
DO80;14.64
DO80;14.65
DO80;14.66
DO80;14.65
DO80;14.62
DO80;14.61
DO80;14.64
DO80;14.63
DO80;14.63
DO80;14.61
DO80;14.64
DO80;14.59
DO80;14.62
DO80;14.60
DO80;14.60
DO80;14.64
DO80;14.67
DO80;14.64
DO80;14.63
DO80;14.63
DO80;14.62
DO80;14.61
DO80;14.64
DO80;14.65
DO80;14.63
DO80;14.59
DO80;14.62
DO80;14.65
DO80;14.58
DO80;14.61
DO80;14.58
DO80;14.62
DO80;14.60
DO80;14.63
DO80;14.63
DO80;14.61
DO80;14.62
DO80;14.65
DO80;14.65
DO80;14.62
DO80;14.65
DO80;14.67
DO80;14.65
DO80;14.66
DO80;14.60
DO80;14.66
DO80;14.63
DO80;14.67
DO80;14.63
DO80;14.58
DO80;14.61
DO80;14.62
