Date (m/d/y);Day;Time;Sample;ORP 80ft (mV);ORP 1100 ft (mV);Difference
25/01/05;1;12:30;1;672;747;-75
25/01/05;1;12:31;2;672;747;-75
25/01/05;1;12:32;3;672;747;-75
25/01/05;1;12:33;4;671;747;-76
25/01/05;1;12:34;5;671;747;-76
25/01/05;1;12:35;6;672;747;-75
25/01/05;1;12:36;7;672;748;-76
25/01/05;1;12:37;8;671;747;-76
25/01/05;1;12:38;9;671;748;-77
25/01/05;1;12:39;10;671;747;-76
25/01/05;1;12:40;11;671;747;-76
25/01/05;1;12:41;12;671;747;-76
25/01/05;1;12:42;13;671;747;-76
25/01/05;1;12:43;14;671;747;-76
25/01/05;1;12:44;15;671;747;-76
25/01/05;1;12:45;16;671;748;-77
25/01/05;1;12:46;17;671;748;-77
25/01/05;1;12:47;18;671;748;-77
25/01/05;1;12:48;19;671;748;-77
25/01/05;1;12:49;20;671;748;-77
25/01/05;1;12:50;21;671;748;-77
25/01/05;1;12:51;22;670;748;-78
25/01/05;1;12:52;23;670;748;-78
25/01/05;1;12:53;24;670;748;-78
25/01/05;1;12:54;25;670;748;-78
25/01/05;1;12:55;26;670;748;-78
25/01/05;1;12:56;27;670;748;-78
25/01/05;1;12:57;28;670;748;-78
25/01/05;1;12:58;29;670;748;-78
25/01/05;1;12:59;30;670;748;-78
25/01/05;1;1:00;31;670;748;-78
25/01/05;1;1:01;32;670;748;-78
25/01/05;1;1:02;33;670;748;-78
25/01/05;1;1:03;34;670;748;-78
25/01/05;1;1:04;35;670;748;-78
25/01/05;1;1:05;36;670;748;-78
25/01/05;1;1:06;37;670;748;-78
25/01/05;1;1:07;38;670;747;-77
25/01/05;1;1:08;39;669;748;-79
25/01/05;1;1:09;40;669;747;-78
25/01/05;1;1:10;41;669;747;-78
25/01/05;1;1:11;42;669;747;-78
25/01/05;1;1:12;43;669;747;-78
25/01/05;1;1:13;44;669;747;-78
25/01/05;1;1:14;45;668;747;-79
25/01/05;1;1:15;46;667;747;-80
25/01/05;1;1:16;47;666;747;-81
25/01/05;1;1:17;48;665;747;-82
25/01/05;1;1:18;49;664;747;-83
25/01/05;1;1:19;50;663;747;-84
25/01/05;1;1:20;51;663;747;-84
25/01/05;1;1:21;52;662;747;-85
25/01/05;1;1:22;53;661;747;-86
25/01/05;1;1:23;54;660;747;-87
25/01/05;1;1:24;55;659;747;-88
25/01/05;1;1:25;56;659;747;-88
25/01/05;1;1:26;57;658;747;-89
25/01/05;1;1:27;58;657;747;-90
25/01/05;1;1:28;59;656;747;-91
25/01/05;1;1:29;60;656;747;-91
25/01/05;1;1:30;61;655;748;-93
25/01/05;1;1:31;62;655;748;-93
25/01/05;1;1:32;63;655;748;-93
25/01/05;1;1:33;64;655;748;-93
25/01/05;1;1:34;65;656;748;-92
25/01/05;1;1:35;66;657;748;-91
25/01/05;1;1:36;67;658;748;-90
25/01/05;1;1:37;68;659;748;-89
25/01/05;1;1:38;69;660;747;-87
25/01/05;1;1:39;70;660;747;-87
25/01/05;1;1:40;71;661;747;-86
25/01/05;1;1:41;72;662;747;-85
25/01/05;1;1:42;73;662;747;-85
25/01/05;1;1:43;74;663;747;-84
25/01/05;1;1:44;75;663;747;-84
25/01/05;1;1:45;76;664;746;-82
25/01/05;1;1:46;77;664;746;-82
25/01/05;1;1:47;78;664;746;-82
25/01/05;1;1:48;79;665;746;-81
25/01/05;1;1:49;80;665;746;-81
25/01/05;1;1:50;81;665;746;-81
25/01/05;1;1:51;82;666;746;-80
25/01/05;1;1:52;83;666;746;-80
25/01/05;1;1:53;84;666;745;-79
25/01/05;1;1:54;85;666;745;-79
25/01/05;1;1:55;86;666;745;-79
25/01/05;1;1:56;87;666;745;-79
25/01/05;1;1:57;88;666;745;-79
25/01/05;1;1:58;89;666;745;-79
25/01/05;1;1:59;90;666;746;-80
25/01/05;1;2:00;91;666;746;-80
25/01/05;1;2:01;92;667;746;-79
25/01/05;1;2:02;93;667;746;-79
25/01/05;1;2:03;94;667;746;-79
25/01/05;1;2:04;95;667;746;-79
25/01/05;1;2:05;96;667;746;-79
25/01/05;1;2:06;97;667;746;-79
25/01/05;1;2:07;98;667;746;-79
25/01/05;1;2:08;99;667;746;-79
25/01/05;1;2:09;100;667;746;-79
25/01/05;1;2:10;101;667;746;-79
25/01/05;1;2:11;102;667;746;-79
25/01/05;1;2:12;103;667;746;-79
25/01/05;1;2:13;104;667;746;-79
25/01/05;1;2:14;105;667;746;-79
25/01/05;1;2:15;106;668;746;-78
25/01/05;1;2:16;107;668;746;-78
25/01/05;1;2:17;108;668;746;-78
25/01/05;1;2:18;109;668;746;-78
25/01/05;1;2:19;110;667;746;-79
25/01/05;1;2:20;111;667;746;-79
25/01/05;1;2:21;112;667;746;-79
25/01/05;1;2:22;113;667;746;-79
25/01/05;1;2:23;114;667;746;-79
25/01/05;1;2:24;115;667;746;-79
25/01/05;1;2:25;116;667;746;-79
25/01/05;1;2:26;117;667;747;-80
25/01/05;1;2:27;118;667;747;-80
25/01/05;1;2:28;119;667;747;-80
25/01/05;1;2:29;120;667;747;-80
25/01/05;1;2:30;121;667;747;-80
25/01/05;1;2:31;122;667;747;-80
25/01/05;1;2:32;123;667;747;-80
25/01/05;1;2:33;124;667;747;-80
25/01/05;1;2:34;125;667;747;-80
25/01/05;1;2:35;126;668;747;-79
25/01/05;1;2:36;127;668;747;-79
25/01/05;1;2:37;128;668;747;-79
25/01/05;1;2:38;129;668;747;-79
25/01/05;1;2:39;130;668;747;-79
25/01/05;1;2:40;131;668;747;-79
25/01/05;1;2:41;132;668;747;-79
25/01/05;1;2:42;133;668;747;-79
25/01/05;1;2:43;134;668;747;-79
25/01/05;1;2:44;135;667;747;-80
25/01/05;1;2:45;136;666;747;-81
25/01/05;1;2:46;137;663;747;-84
25/01/05;1;2:47;138;659;747;-88
25/01/05;1;2:48;139;655;747;-92
25/01/05;1;2:49;140;650;747;-97
25/01/05;1;2:50;141;644;747;-103
25/01/05;1;2:51;142;639;747;-108
25/01/05;1;2:52;143;634;747;-113
25/01/05;1;2:53;144;628;747;-119
25/01/05;1;2:54;145;623;747;-124
25/01/05;1;2:55;146;619;747;-128
25/01/05;1;2:56;147;614;747;-133
25/01/05;1;2:57;148;609;747;-138
25/01/05;1;2:58;149;605;747;-142
25/01/05;1;2:59;150;600;747;-147
25/01/05;1;3:00;151;596;747;-151
25/01/05;1;3:01;152;592;748;-156
25/01/05;1;3:02;153;588;749;-161
25/01/05;1;3:03;154;584;750;-166
25/01/05;1;3:04;155;580;751;-171
25/01/05;1;3:05;156;579;752;-173
25/01/05;1;3:06;157;583;752;-169
25/01/05;1;3:07;158;590;752;-162
25/01/05;1;3:08;159;597;752;-155
25/01/05;1;3:09;160;605;751;-146
25/01/05;1;3:10;161;612;751;-139
25/01/05;1;3:11;162;617;750;-133
25/01/05;1;3:12;163;623;749;-126
25/01/05;1;3:13;164;628;749;-121
25/01/05;1;3:14;165;632;748;-116
25/01/05;1;3:15;166;635;747;-112
25/01/05;1;3:16;167;638;747;-109
25/01/05;1;3:17;168;640;746;-106
25/01/05;1;3:18;169;642;745;-103
25/01/05;1;3:19;170;644;745;-101
25/01/05;1;3:20;171;646;744;-98
25/01/05;1;3:21;172;648;743;-95
25/01/05;1;3:22;173;649;741;-92
25/01/05;1;3:23;174;651;739;-88
25/01/05;1;3:24;175;653;737;-84
25/01/05;1;3:25;176;654;736;-82
25/01/05;1;3:26;177;655;735;-80
25/01/05;1;3:27;178;656;735;-79
25/01/05;1;3:28;179;657;735;-78
25/01/05;1;3:29;180;658;735;-77
25/01/05;1;3:30;181;659;735;-76
25/01/05;1;3:31;182;660;735;-75
25/01/05;1;3:32;183;660;735;-75
25/01/05;1;3:33;184;661;735;-74
25/01/05;1;3:34;185;662;735;-73
25/01/05;1;3:35;186;663;735;-72
25/01/05;1;3:36;187;663;736;-73
25/01/05;1;3:37;188;664;736;-72
25/01/05;1;3:38;189;664;736;-72
25/01/05;1;3:39;190;665;736;-71
25/01/05;1;3:40;191;665;736;-71
25/01/05;1;3:41;192;665;736;-71
25/01/05;1;3:42;193;666;737;-71
25/01/05;1;3:43;194;666;737;-71
25/01/05;1;3:44;195;666;737;-71
25/01/05;1;3:45;196;667;737;-70
25/01/05;1;3:46;197;667;737;-70
25/01/05;1;3:47;198;667;737;-70
25/01/05;1;3:48;199;667;737;-70
25/01/05;1;3:49;200;668;738;-70
25/01/05;1;3:50;201;668;738;-70
25/01/05;1;3:51;202;668;738;-70
25/01/05;1;3:52;203;668;738;-70
25/01/05;1;3:53;204;668;738;-70
25/01/05;1;3:54;205;668;738;-70
25/01/05;1;3:55;206;668;738;-70
25/01/05;1;3:56;207;668;738;-70
25/01/05;1;3:57;208;668;738;-70
25/01/05;1;3:58;209;669;738;-69
25/01/05;1;3:59;210;669;738;-69
25/01/05;1;4:00;211;669;739;-70
25/01/05;1;4:01;212;669;739;-70
25/01/05;1;4:02;213;669;739;-70
25/01/05;1;4:03;214;669;739;-70
25/01/05;1;4:04;215;669;739;-70
25/01/05;1;4:05;216;670;739;-69
25/01/05;1;4:06;217;670;739;-69
25/01/05;1;4:07;218;670;739;-69
25/01/05;1;4:08;219;670;739;-69
25/01/05;1;4:09;220;670;739;-69
25/01/05;1;4:10;221;670;739;-69
25/01/05;1;4:11;222;670;739;-69
25/01/05;1;4:12;223;670;739;-69
25/01/05;1;4:13;224;670;740;-70
