Date (m/d/y);Day;Time;Sample;Sp Cond 80ft (µS/cm);Sp Cond 1100 ft (µS/cm);Difference
25/01/05;1;12:30;1;281;284;3
25/01/05;1;12:31;2;281;283;2
25/01/05;1;12:32;3;281;283;2
25/01/05;1;12:33;4;281;283;2
25/01/05;1;12:34;5;281;284;3
25/01/05;1;12:35;6;281;284;3
25/01/05;1;12:36;7;281;283;2
25/01/05;1;12:37;8;281;284;3
25/01/05;1;12:38;9;281;284;3
25/01/05;1;12:39;10;281;283;2
25/01/05;1;12:40;11;281;284;3
25/01/05;1;12:41;12;281;284;3
25/01/05;1;12:42;13;281;284;3
25/01/05;1;12:43;14;281;284;3
25/01/05;1;12:44;15;281;283;2
25/01/05;1;12:45;16;281;284;3
25/01/05;1;12:46;17;281;284;3
25/01/05;1;12:47;18;281;284;3
25/01/05;1;12:48;19;281;283;2
25/01/05;1;12:49;20;281;284;3
25/01/05;1;12:50;21;281;284;3
25/01/05;1;12:51;22;281;284;3
25/01/05;1;12:52;23;281;283;2
25/01/05;1;12:53;24;281;284;3
25/01/05;1;12:54;25;281;283;2
25/01/05;1;12:55;26;282;283;1
25/01/05;1;12:56;27;281;284;3
25/01/05;1;12:57;28;281;284;3
25/01/05;1;12:58;29;281;284;3
25/01/05;1;12:59;30;281;284;3
25/01/05;1;1:00;31;281;283;2
25/01/05;1;1:01;32;281;284;3
25/01/05;1;1:02;33;281;284;3
25/01/05;1;1:03;34;281;284;3
25/01/05;1;1:04;35;281;284;3
25/01/05;1;1:05;36;281;284;3
25/01/05;1;1:06;37;281;284;3
25/01/05;1;1:07;38;281;283;2
25/01/05;1;1:08;39;281;284;3
25/01/05;1;1:09;40;281;284;3
25/01/05;1;1:10;41;281;284;3
25/01/05;1;1:11;42;281;284;3
25/01/05;1;1:12;43;281;283;2
25/01/05;1;1:13;44;281;284;3
25/01/05;1;1:14;45;281;284;3
25/01/05;1;1:15;46;281;284;3
25/01/05;1;1:16;47;281;284;3
25/01/05;1;1:17;48;281;284;3
25/01/05;1;1:18;49;281;284;3
25/01/05;1;1:19;50;281;284;3
25/01/05;1;1:20;51;281;284;3
25/01/05;1;1:21;52;281;284;3
25/01/05;1;1:22;53;281;283;2
25/01/05;1;1:23;54;281;284;3
25/01/05;1;1:24;55;281;284;3
25/01/05;1;1:25;56;281;283;2
25/01/05;1;1:26;57;281;284;3
25/01/05;1;1:27;58;281;284;3
25/01/05;1;1:28;59;281;284;3
25/01/05;1;1:29;60;281;284;3
25/01/05;1;1:30;61;281;284;3
25/01/05;1;1:31;62;281;284;3
25/01/05;1;1:32;63;281;284;3
25/01/05;1;1:33;64;282;284;2
25/01/05;1;1:34;65;281;284;3
25/01/05;1;1:35;66;281;284;3
25/01/05;1;1:36;67;281;284;3
25/01/05;1;1:37;68;281;283;2
25/01/05;1;1:38;69;281;284;3
25/01/05;1;1:39;70;281;284;3
25/01/05;1;1:40;71;281;284;3
25/01/05;1;1:41;72;281;284;3
25/01/05;1;1:42;73;281;284;3
25/01/05;1;1:43;74;281;284;3
25/01/05;1;1:44;75;281;283;2
25/01/05;1;1:45;76;281;283;2
25/01/05;1;1:46;77;281;284;3
25/01/05;1;1:47;78;281;284;3
25/01/05;1;1:48;79;281;284;3
25/01/05;1;1:49;80;282;284;2
25/01/05;1;1:50;81;281;284;3
25/01/05;1;1:51;82;281;284;3
25/01/05;1;1:52;83;281;284;3
25/01/05;1;1:53;84;281;284;3
25/01/05;1;1:54;85;281;284;3
25/01/05;1;1:55;86;281;284;3
25/01/05;1;1:56;87;281;284;3
25/01/05;1;1:57;88;281;284;3
25/01/05;1;1:58;89;281;284;3
25/01/05;1;1:59;90;281;284;3
25/01/05;1;2:00;91;281;283;2
25/01/05;1;2:01;92;281;284;3
25/01/05;1;2:02;93;281;283;2
25/01/05;1;2:03;94;281;284;3
25/01/05;1;2:04;95;281;284;3
25/01/05;1;2:05;96;281;284;3
25/01/05;1;2:06;97;281;284;3
25/01/05;1;2:07;98;281;283;2
25/01/05;1;2:08;99;281;284;3
25/01/05;1;2:09;100;281;284;3
25/01/05;1;2:10;101;281;284;3
25/01/05;1;2:11;102;281;284;3
25/01/05;1;2:12;103;281;284;3
25/01/05;1;2:13;104;281;284;3
25/01/05;1;2:14;105;281;284;3
25/01/05;1;2:15;106;281;284;3
25/01/05;1;2:16;107;281;284;3
25/01/05;1;2:17;108;281;284;3
25/01/05;1;2:18;109;281;284;3
25/01/05;1;2:19;110;281;284;3
25/01/05;1;2:20;111;281;284;3
25/01/05;1;2:21;112;281;284;3
25/01/05;1;2:22;113;281;284;3
25/01/05;1;2:23;114;281;284;3
25/01/05;1;2:24;115;281;284;3
25/01/05;1;2:25;116;281;284;3
25/01/05;1;2:26;117;281;284;3
25/01/05;1;2:27;118;281;284;3
25/01/05;1;2:28;119;281;284;3
25/01/05;1;2:29;120;281;284;3
25/01/05;1;2:30;121;281;284;3
25/01/05;1;2:31;122;281;284;3
25/01/05;1;2:32;123;281;284;3
