param;mg/L
C80;16.33
C80;16.39
C80;16.39
C80;16.38
C80;16.39
C80;16.32
C80;16.40
C80;16.41
C80;16.43
C80;16.41
C80;16.35
C80;16.40
C80;16.41
C80;16.40
C80;16.41
C80;16.35
C80;16.41
C80;16.41
C80;16.42
C80;16.42
C80;16.35
C80;16.42
C80;16.42
C80;16.40
C80;16.40
C80;16.35
C80;16.42
C80;16.41
C80;16.42
C80;16.43
C80;16.39
C80;16.43
C80;16.40
C80;16.44
C80;16.41
C80;16.37
C80;16.42
C80;16.42
C80;16.45
C80;16.49
C80;16.48
C80;16.52
C80;16.56
C80;16.57
C80;16.60
C80;16.56
C80;16.62
C80;16.63
C80;16.63
C80;16.63
C80;16.54
C80;16.64
C80;16.63
C80;16.63
C80;16.63
C80;16.54
C80;16.64
C80;16.65
C80;16.63
C80;16.58
C80;16.51
C80;16.52
C80;16.55
C80;16.51
C80;16.52
C80;16.42
C80;16.49
C80;16.50
C80;16.47
C80;16.49
C80;16.41
C80;16.47
C80;16.46
C80;16.46
C80;16.40
C80;16.37
C80;16.46
C80;16.46
C80;16.46
C80;16.41
C80;16.40
C80;16.47
C80;16.46
C80;16.44
C80;16.45
C80;16.37
C80;16.45
C80;16.45
C80;16.43
C80;16.44
C80;16.42
C80;16.46
C80;16.42
C80;16.44
C80;16.46
C80;16.38
C80;16.42
C80;16.43
C80;16.45
C80;16.43
C80;16.40
C80;16.44
C80;16.42
C80;16.44
C80;16.43
C80;16.36
C80;16.42
C80;16.43
C80;16.44
C80;16.41
C80;16.38
C80;16.43
C80;16.45
C80;16.41
C80;16.43
C80;16.36
C80;16.42
C80;16.42
C80;16.42
C80;16.41
C80;16.35
C80;16.42
C80;16.39
C80;16.42
C80;16.43
C80;16.35
C80;16.42
C80;16.43
C80;16.43
C80;16.37
C80;16.41
C80;16.57
C80;16.68
C80;16.81
C80;16.89
C80;16.86
C80;16.98
C80;17.00
C80;16.99
C80;17.03
C80;16.99
C80;17.04
C80;17.07
C80;17.07
C80;17.11
C80;17.05
C80;17.12
C80;17.11
C80;17.11
C80;17.12
C80;17.08
C80;17.08
C80;16.93
C80;16.82
C80;16.73
C80;16.67
C80;16.67
C80;16.64
C80;16.62
C80;16.58
C80;16.55
C80;16.56
C80;16.53
C80;16.53
C80;16.52
C80;16.47
C80;16.51
C80;16.51
C80;16.50
C80;16.50
C80;16.41
C80;16.49
C80;16.47
C80;16.47
C80;16.46
C80;16.38
C80;16.46
C80;16.44
C80;16.44
C80;16.45
C80;16.36
C80;16.44
C80;16.44
C80;16.43
C80;16.45
C80;16.39
C80;16.44
C80;16.42
C80;16.45
C80;16.44
C80;16.35
C80;16.40
C80;16.41
C80;16.43
C80;16.44
C80;16.35
C80;16.38
C80;16.41
C80;16.40
C80;16.41
C80;16.32
C80;16.39
C80;16.37
C80;16.40
C80;16.38
C80;16.30
C80;16.37
C80;16.38
C80;16.37
C80;16.35
C80;16.34
C80;16.37
C80;16.37
C80;16.38
C80;16.35
C80;16.29
C80;16.39
C80;16.38
C80;16.35
C80;16.36
C80;16.33
C80;16.37
C80;16.39
C80;16.37
C80;16.38
C80;16.29
C80;16.39
C80;16.34
C80;16.38
C80;16.37
C80;16.33
C80;16.55
C80;16.74
C80;16.80
C80;16.82
C80;16.79
C80;16.90
C80;16.90
C80;16.92
C80;16.97
C80;16.86
C80;16.98
C80;16.98
C80;17.00
C80;17.00
C80;16.93
C80;17.01
C80;17.01
C80;17.03
C80;17.02
C80;16.97
C80;17.05
C80;17.07
C80;16.93
C80;16.82
C80;16.66
C80;16.69
C80;16.64
C80;16.58
C80;16.57
C80;16.49
C80;16.52
C80;16.51
C80;16.52
C80;16.49
C80;16.39
C80;16.46
C80;16.47
C80;16.44
C80;16.45
C80;16.40
C80;16.44
C80;16.42
C80;16.43
C80;16.43
C80;16.37
C80;16.41
C80;16.38
C80;16.40
C80;16.41
C80;16.32
C80;16.40
C80;16.40
C80;16.40
C80;16.41
C80;16.31
C80;16.41
C80;16.40
C80;16.37
C80;16.29
C80;16.30
C80;16.37
C80;16.37
C80;16.37
C80;16.35
C80;16.29
C80;16.34
C80;16.34
C80;16.35
C80;16.37
C80;16.28
C80;15.69
C80;15.75
C80;15.72
C80;15.75
C80;15.76
C80;15.74
C80;15.76
C80;15.77
C80;15.77
C80;15.73
C80;15.62
C80;15.70
C80;15.72
C80;15.72
C80;15.70
C80;15.68
C80;15.70
C80;15.72
C80;15.72
C80;15.73
C80;15.67
C80;15.71
C80;15.84
C80;15.73
C80;15.87
C80;15.71
C80;15.78
C80;15.77
C80;15.77
C80;15.77
C80;15.73
C80;15.75
C80;15.76
C80;15.79
C80;15.76
C80;15.79
C80;15.80
C80;15.90
C80;15.98
C80;15.95
C80;16.01
C80;16.00
C80;16.03
C80;16.08
C80;16.05
C80;15.99
C80;16.07
C80;16.13
C80;16.11
C80;16.10
C80;16.06
C80;16.18
C80;16.17
C80;16.16
C80;16.12
C80;16.18
C80;16.09
C80;16.10
C80;16.10
C80;16.03
C80;15.98
C80;16.04
C80;16.03
C80;15.99
C80;16.01
C80;15.98
C80;15.96
C80;16.01
C80;15.97
C80;16.00
C80;15.91
C80;15.99
C80;16.04
C80;16.01
C80;16.01
C80;15.89
C80;15.99
C80;15.99
C80;15.98
C80;15.98
C80;15.92
C80;16.02
C80;15.99
C80;15.99
C80;16.00
C80;16.01
C80;16.05
C80;16.03
C80;16.01
C80;16.03
C80;16.02
C80;16.03
C80;16.05
C80;16.05
C80;16.07
C80;15.96
C80;16.02
C80;16.04
C80;16.06
C80;16.10
C80;16.04
C80;16.13
C80;16.07
C80;16.08
C80;16.10
C80;16.04
C80;16.16
C80;16.18
C80;16.20
C80;16.15
C80;16.15
C80;16.15
C80;16.19
C80;16.16
C80;16.20
C80;16.19
