param;µS/cm
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;282
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;282
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;282
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;282
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;282
conductivity80;282
conductivity80;282
conductivity80;281
conductivity80;282
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;282
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
conductivity80;281
