Date (m/d/y);Day;Time;Sample;CI2-F (ATI) 80ft (PPM);CI2-F 2 (Rosemont) 80ft (PPM);CI2-F (ATI) 1100ft (PPM);CI2-F 2 (Depolox) 1100ft (PPM);Difference ATI
25/01/05;1;12:30;1;0.9;0.9;0.86;0.9;0.04
25/01/05;1;12:31;2;0.9;0.91;0.86;0.89;0.04
25/01/05;1;12:32;3;0.9;0.91;0.86;0.89;0.04
25/01/05;1;12:33;4;0.9;0.91;0.86;0.89;0.04
25/01/05;1;12:34;5;0.9;0.91;0.86;0.9;0.04
25/01/05;1;12:35;6;0.9;0.89;0.86;0.9;0.04
25/01/05;1;12:36;7;0.9;0.91;0.86;0.9;0.04
25/01/05;1;12:37;8;0.9;0.9;0.86;0.89;0.04
25/01/05;1;12:38;9;0.9;0.91;0.86;0.89;0.04
25/01/05;1;12:39;10;0.9;0.91;0.86;0.89;0.04
25/01/05;1;12:40;11;0.9;0.89;0.86;0.89;0.04
25/01/05;1;12:41;12;0.9;0.91;0.86;0.9;0.04
25/01/05;1;12:42;13;0.9;0.91;0.86;0.9;0.04
25/01/05;1;12:43;14;0.9;0.91;0.86;0.89;0.04
25/01/05;1;12:44;15;0.9;0.92;0.86;0.89;0.04
25/01/05;1;12:45;16;0.9;0.89;0.86;0.89;0.04
25/01/05;1;12:46;17;0.9;0.91;0.86;0.9;0.04
25/01/05;1;12:47;18;0.9;0.91;0.86;0.89;0.04
25/01/05;1;12:48;19;0.9;0.92;0.86;0.9;0.04
25/01/05;1;12:49;20;0.9;0.92;0.86;0.9;0.04
25/01/05;1;12:50;21;0.9;0.76;0.86;0.9;0.04
25/01/05;1;12:51;22;0.9;0.76;0.86;0.89;0.04
25/01/05;1;12:52;23;0.9;0.75;0.86;0.89;0.04
25/01/05;1;12:53;24;0.9;0.75;0.86;0.89;0.04
25/01/05;1;12:54;25;0.9;0.76;0.85;0.89;0.05
25/01/05;1;12:55;26;0.9;0.75;0.86;0.89;0.04
25/01/05;1;12:56;27;0.9;0.76;0.86;0.9;0.04
25/01/05;1;12:57;28;0.9;0.76;0.86;0.89;0.04
25/01/05;1;12:58;29;0.9;0.77;0.86;0.89;0.04
25/01/05;1;12:59;30;0.9;0.77;0.86;0.89;0.04
25/01/05;1;1:00;31;0.9;0.77;0.85;0.89;0.05
25/01/05;1;1:01;32;0.9;0.77;0.86;0.9;0.04
25/01/05;1;1:02;33;0.9;0.77;0.86;0.89;0.04
25/01/05;1;1:03;34;0.9;0.77;0.86;0.9;0.04
25/01/05;1;1:04;35;0.9;0.77;0.86;0.9;0.04
25/01/05;1;1:05;36;0.9;0.76;0.85;0.89;0.05
25/01/05;1;1:06;37;0.89;0.75;0.86;0.89;0.03
25/01/05;1;1:07;38;0.77;0.65;0.85;0.89;-0.08
25/01/05;1;1:08;39;0.66;0.6;0.85;0.9;-0.19
25/01/05;1;1:09;40;0.63;0.75;0.85;0.89;-0.22
25/01/05;1;1:10;41;0.62;0.72;0.85;0.89;-0.23
25/01/05;1;1:11;42;0.62;0.75;0.85;0.9;-0.23
25/01/05;1;1:12;43;0.62;0.74;0.85;0.89;-0.23
25/01/05;1;1:13;44;0.61;0.73;0.85;0.89;-0.24
25/01/05;1;1:14;45;0.61;0.73;0.85;0.89;-0.24
25/01/05;1;1:15;46;0.62;0.71;0.85;0.89;-0.23
25/01/05;1;1:16;47;0.61;0.73;0.85;0.89;-0.24
25/01/05;1;1:17;48;0.61;0.73;0.85;0.89;-0.24
25/01/05;1;1:18;49;0.61;0.73;0.85;0.9;-0.24
25/01/05;1;1:19;50;0.61;0.72;0.85;0.9;-0.24
25/01/05;1;1:20;51;0.61;0.72;0.85;0.89;-0.24
25/01/05;1;1:21;52;0.61;0.74;0.85;0.89;-0.24
25/01/05;1;1:23;53;0.61;0.73;0.85;0.89;-0.24
25/01/05;1;1:24;54;0.61;0.73;0.85;0.89;-0.24
25/01/05;1;1:25;55;0.6;0.71;0.85;0.89;-0.25
25/01/05;1;1:26;56;0.57;0.73;0.85;0.89;-0.28
25/01/05;1;1:27;57;0.78;0.85;0.81;0.84;-0.03
25/01/05;1;1:28;58;0.88;0.87;0.74;0.75;0.14
25/01/05;1;1:29;59;0.89;0.87;0.67;0.69;0.22
25/01/05;1;1:30;60;0.89;0.86;0.64;0.66;0.25
25/01/05;1;1:31;61;0.89;0.88;0.62;0.64;0.27
25/01/05;1;1:32;62;0.89;0.87;0.61;0.63;0.28
25/01/05;1;1:33;63;0.89;0.88;0.6;0.63;0.29
25/01/05;1;1:34;64;0.89;0.88;0.6;0.63;0.29
25/01/05;1;1:35;65;0.89;0.86;0.59;0.62;0.3
25/01/05;1;1:36;66;0.89;0.88;0.59;0.62;0.3
25/01/05;1;1:37;67;0.89;0.87;0.59;0.62;0.3
25/01/05;1;1:38;68;0.89;0.88;0.59;0.62;0.3
25/01/05;1;1:39;69;0.9;0.88;0.59;0.62;0.31
25/01/05;1;1:40;70;0.9;0.86;0.59;0.62;0.31
25/01/05;1;1:41;71;0.9;0.88;0.59;0.62;0.31
25/01/05;1;1:42;72;0.89;0.87;0.59;0.62;0.3
