Date (m/d/y);Day;Time;Sample;pH 80ft;pH 1100ft;Difference
25/01/05;1;12:30;1;7.23;8.68;-1.45
25/01/05;1;12:31;2;7.22;8.67;-1.45
25/01/05;1;12:32;3;7.22;8.68;-1.46
25/01/05;1;12:33;4;7.22;8.68;-1.46
25/01/05;1;12:34;5;7.22;8.68;-1.46
25/01/05;1;12:35;6;7.23;8.67;-1.44
25/01/05;1;12:36;7;7.22;8.67;-1.45
25/01/05;1;12:37;8;7.22;8.68;-1.46
25/01/05;1;12:38;9;7.22;8.68;-1.46
25/01/05;1;12:39;10;7.23;8.67;-1.44
25/01/05;1;12:40;11;7.22;8.68;-1.46
25/01/05;1;12:41;12;7.23;8.68;-1.45
25/01/05;1;12:42;13;7.22;8.67;-1.45
25/01/05;1;12:43;14;7.23;8.68;-1.45
25/01/05;1;12:44;15;7.23;8.68;-1.45
25/01/05;1;12:45;16;7.22;8.67;-1.45
25/01/05;1;12:46;17;7.23;8.68;-1.45
25/01/05;1;12:47;18;7.23;8.67;-1.44
25/01/05;1;12:48;19;7.22;8.68;-1.46
25/01/05;1;12:49;20;7.23;8.68;-1.45
25/01/05;1;12:50;21;7.23;8.67;-1.44
25/01/05;1;12:51;22;7.22;8.68;-1.46
25/01/05;1;12:52;23;7.23;8.68;-1.45
25/01/05;1;12:53;24;7.23;8.68;-1.45
25/01/05;1;12:54;25;7.22;8.68;-1.46
25/01/05;1;12:55;26;7.22;8.68;-1.46
25/01/05;1;12:56;27;7.22;8.68;-1.46
25/01/05;1;12:57;28;7.22;8.67;-1.45
25/01/05;1;12:58;29;7.22;8.68;-1.46
25/01/05;1;12:59;30;7.23;8.68;-1.45
25/01/05;1;1:00;31;7.23;8.67;-1.44
25/01/05;1;1:01;32;7.22;8.67;-1.45
25/01/05;1;1:02;33;7.23;8.68;-1.45
25/01/05;1;1:03;34;7.22;8.68;-1.46
25/01/05;1;1:04;35;7.22;8.67;-1.45
25/01/05;1;1:05;36;7.22;8.67;-1.45
25/01/05;1;1:06;37;7.22;8.67;-1.45
25/01/05;1;1:07;38;7.22;8.68;-1.46
25/01/05;1;1:08;39;7.22;8.68;-1.46
25/01/05;1;1:09;40;7.22;8.68;-1.46
25/01/05;1;1:10;41;7.22;8.67;-1.45
25/01/05;1;1:11;42;7.21;8.68;-1.47
25/01/05;1;1:12;43;7.21;8.68;-1.47
25/01/05;1;1:13;44;7.2;8.68;-1.48
25/01/05;1;1:14;45;7.21;8.68;-1.47
25/01/05;1;1:15;46;7.21;8.68;-1.47
25/01/05;1;1:16;47;7.21;8.68;-1.47
25/01/05;1;1:17;48;7.2;8.68;-1.48
25/01/05;1;1:18;49;7.2;8.68;-1.48
25/01/05;1;1:19;50;7.2;8.67;-1.47
25/01/05;1;1:20;51;7.2;8.68;-1.48
25/01/05;1;1:21;52;7.2;8.68;-1.48
25/01/05;1;1:22;53;7.2;8.67;-1.47
25/01/05;1;1:23;54;7.2;8.68;-1.48
25/01/05;1;1:24;55;7.2;8.68;-1.48
25/01/05;1;1:25;56;7.2;8.68;-1.48
