Date (m/d/y);Day;Time;Hour;Sample;Chloride 80ft (mg/L);Chloride 1100 ft (mg/L);Sp_Cond 80ft (µS/cm);Sp_Cond 1100 ft (µS/cm);DO 80ft (mg/L);DO 1100 ft (mg/L)
25/01/05;1;12:30;12.30;1;16.33;17.02;281;284;14.39;13.17
25/01/05;1;12:31;12.31;2;16.39;17.12;281;283;14.47;13.20
25/01/05;1;12:32;12.32;3;16.39;17.12;281;283;14.41;13.25
25/01/05;1;12:33;12.33;4;16.38;17.11;281;283;14.46;13.19
25/01/05;1;12:34;12.34;5;16.39;17.03;281;284;14.49;13.20
25/01/05;1;12:35;12.35;6;16.32;17.03;281;284;14.45;13.19
25/01/05;1;12:36;12.36;7;16.40;16.93;281;283;14.47;13.24
25/01/05;1;12:37;12.37;8;16.41;17.02;281;284;14.45;13.26
25/01/05;1;12:38;12.38;9;16.43;17.02;281;284;14.48;13.28
25/01/05;1;12:39;12.39;10;16.41;17.10;281;283;14.45;13.29
25/01/05;1;12:40;12.40;11;16.35;17.02;281;284;14.50;13.23
25/01/05;1;12:41;12.41;12;16.40;17.03;281;284;14.49;13.25
25/01/05;1;12:42;12.42;13;16.41;17.01;281;284;14.46;13.29
25/01/05;1;12:43;12.43;14;16.40;17.00;281;284;14.51;13.21
25/01/05;1;12:44;12.44;15;16.41;17.10;281;283;14.46;13.25
25/01/05;1;12:45;12.45;16;16.35;17.01;281;284;14.44;13.25
25/01/05;1;12:46;12.46;17;16.41;17.02;281;284;14.47;13.26
25/01/05;1;12:47;12.47;18;16.41;16.93;281;284;14.49;13.27
25/01/05;1;12:48;12.48;19;16.42;17.08;281;283;14.47;13.27
25/01/05;1;12:49;12.49;20;16.42;16.93;281;284;14.49;13.26
25/01/05;1;12:50;12.50;21;16.35;16.91;281;284;14.50;13.20
25/01/05;1;12:51;12.51;22;16.42;17.00;281;284;14.51;13.28
25/01/05;1;12:52;12.52;23;16.42;17.08;281;283;14.50;13.25
25/01/05;1;12:53;12.53;24;16.40;17.00;281;284;14.51;13.19
25/01/05;1;12:54;12.54;25;16.40;17.08;281;283;14.50;13.28
25/01/05;1;12:55;12.55;26;16.35;17.09;282;283;14.52;13.26
25/01/05;1;12:56;12.56;27;16.42;17.00;281;284;14.55;13.26
25/01/05;1;12:57;12.57;28;16.41;17.00;281;284;14.47;13.26
25/01/05;1;12:58;12.58;29;16.42;16.97;281;284;14.54;13.31
25/01/05;1;12:59;12.59;30;16.43;17.00;281;284;14.54;13.31
25/01/05;1;1:00;1.00;31;16.39;16.96;281;283;14.50;13.34
25/01/05;1;1:01;1.01;32;16.43;17.02;281;284;14.55;13.29
25/01/05;1;1:02;1.02;33;16.40;16.93;281;284;14.47;13.25
25/01/05;1;1:03;1.03;34;16.44;16.99;281;284;14.57;13.31
25/01/05;1;1:04;1.04;35;16.41;16.99;281;284;14.56;13.30
25/01/05;1;1:05;1.05;36;16.37;17.00;281;284;14.53;13.37
25/01/05;1;1:06;1.06;37;16.42;16.92;281;284;14.57;13.31
25/01/05;1;1:07;1.07;38;16.42;17.00;281;283;14.52;13.31
25/01/05;1;1:08;1.08;39;16.45;16.97;281;284;14.56;13.32
25/01/05;1;1:09;1.09;40;16.49;16.99;281;284;14.49;13.30
25/01/05;1;1:10;1.10;41;16.48;17.00;281;284;14.52;13.32
