Date (m/d/y);Day;Time;Sample;Turb 80ft (NTU);Turb 1100 ft (NTU);Difference
25/01/05;1;12:30;1;0.5;0.1;0.4
25/01/05;1;12:31;2;0.8;0.1;0.7
25/01/05;1;12:32;3;0.8;0.1;0.7
25/01/05;1;12:33;4;0.8;0.1;0.7
25/01/05;1;12:34;5;0.7;0.1;0.6
25/01/05;1;12:35;6;-0.1;0.1;-0.2
25/01/05;1;12:36;7;0.7;0.1;0.6
25/01/05;1;12:37;8;0.8;0.1;0.7
25/01/05;1;12:38;9;0.8;0.1;0.7
25/01/05;1;12:39;10;0.7;0;0.7
25/01/05;1;12:40;11;0.4;0;0.4
25/01/05;1;12:41;12;0.7;0;0.7
25/01/05;1;12:42;13;0.7;0;0.7
25/01/05;1;12:43;14;0.7;0;0.7
25/01/05;1;12:44;15;0.7;0;0.7
25/01/05;1;12:45;16;0.2;0;0.2
25/01/05;1;12:46;17;0.7;0;0.7
25/01/05;1;12:47;18;0.8;0;0.8
25/01/05;1;12:48;19;0.8;0;0.8
25/01/05;1;12:49;20;0.9;0.2;0.7
25/01/05;1;12:50;21;0.5;0.3;0.2
25/01/05;1;12:51;22;0.7;0.2;0.5
25/01/05;1;12:52;23;0.8;0.2;0.6
25/01/05;1;12:53;24;0.8;0.3;0.5
25/01/05;1;12:54;25;0.8;0;0.8
25/01/05;1;12:55;26;1.2;0;1.2
25/01/05;1;12:56;27;0.7;0;0.7
25/01/05;1;12:57;28;0.7;0;0.7
25/01/05;1;12:58;29;0.8;0;0.8
25/01/05;1;12:59;30;0.8;0.1;0.7
25/01/05;1;1:00;31;0.5;0.1;0.4
25/01/05;1;1:01;32;0.7;0.1;0.6
25/01/05;1;1:02;33;0.8;0.1;0.7
25/01/05;1;1:03;34;0.8;0.1;0.7
25/01/05;1;1:04;35;0.7;0;0.7
25/01/05;1;1:05;36;0.2;0;0.2
25/01/05;1;1:06;37;0.8;0;0.8
25/01/05;1;1:07;38;0.8;0;0.8
25/01/05;1;1:08;39;0.8;0;0.8
25/01/05;1;1:09;40;0.8;0.1;0.7
25/01/05;1;1:10;41;0.5;0.1;0.4
25/01/05;1;1:11;42;0.7;0.1;0.6
25/01/05;1;1:12;43;0.8;0.1;0.7
25/01/05;1;1:13;44;0.8;0.1;0.7
25/01/05;1;1:14;45;0.8;0.2;0.6
25/01/05;1;1:15;46;0.9;0.3;0.6
25/01/05;1;1:16;47;0.8;0.2;0.6
25/01/05;1;1:17;48;0.8;0.3;0.5
25/01/05;1;1:18;49;0.7;0.3;0.4
25/01/05;1;1:19;50;0.7;0.4;0.3
25/01/05;1;1:20;51;-0.2;0.4;-0.6
25/01/05;1;1:21;52;0.7;0.4;0.3
25/01/05;1;1:22;53;0.7;0.5;0.2
25/01/05;1;1:23;54;0.8;0.5;0.3
25/01/05;1;1:24;55;0.8;0;0.8
25/01/05;1;1:25;56;-0.7;0;-0.7
25/01/05;1;1:26;57;0.8;0;0.8
25/01/05;1;1:27;58;0.7;0;0.7
25/01/05;1;1:28;59;0.7;0;0.7
25/01/05;1;1:29;60;0.7;0;0.7
25/01/05;1;1:30;61;0.5;0;0.5
25/01/05;1;1:31;62;0.8;0;0.8
25/01/05;1;1:32;63;0.8;0;0.8
25/01/05;1;1:33;64;0.8;0;0.8
25/01/05;1;1:34;65;0.8;0;0.8
25/01/05;1;1:35;66;0.5;0;0.5
25/01/05;1;1:36;67;0.8;0;0.8
25/01/05;1;1:37;68;0.7;0;0.7
25/01/05;1;1:38;69;0.8;0;0.8
25/01/05;1;1:39;70;0.7;0.1;0.6
25/01/05;1;1:40;71;0;0.1;-0.1
25/01/05;1;1:41;72;0.7;0.1;0.6
25/01/05;1;1:42;73;0.8;0.1;0.7
25/01/05;1;1:43;74;0.8;0.1;0.7
25/01/05;1;1:44;75;0.8;0;0.8
25/01/05;1;1:45;76;0.7;0;0.7
25/01/05;1;1:46;77;0.8;0;0.8
25/01/05;1;1:47;78;0.8;0;0.8
25/01/05;1;1:48;79;0.8;0;0.8
25/01/05;1;1:49;80;0.7;0.1;0.6
25/01/05;1;1:50;81;0.8;0.2;0.6
25/01/05;1;1:51;82;0.8;0.1;0.7
25/01/05;1;1:52;83;0.8;0.1;0.7
25/01/05;1;1:53;84;0.8;0.1;0.7
25/01/05;1;1:54;85;0.8;0;0.8
25/01/05;1;1:55;86;1;0;1
25/01/05;1;1:56;87;0.7;0;0.7
25/01/05;1;1:57;88;0.8;0;0.8
25/01/05;1;1:58;89;0.7;0;0.7
25/01/05;1;1:59;90;0.8;0.3;0.5
25/01/05;1;2:00;91;0.7;0.3;0.4
25/01/05;1;2:01;92;0.7;0.3;0.4
25/01/05;1;2:02;93;0.8;0.3;0.5
25/01/05;1;2:03;94;0.7;0.3;0.4
25/01/05;1;2:04;95;0.8;0;0.8
25/01/05;1;2:05;96;0.5;0;0.5
25/01/05;1;2:06;97;0.7;0;0.7
25/01/05;1;2:07;98;0.8;0;0.8
25/01/05;1;2:08;99;0.7;0;0.7
25/01/05;1;2:09;100;0.7;0;0.7
25/01/05;1;2:10;101;0.4;0;0.4
25/01/05;1;2:11;102;0.8;0;0.8
25/01/05;1;2:12;103;0.8;0;0.8
25/01/05;1;2:13;104;0.8;0;0.8
25/01/05;1;2:14;105;0.7;0.1;0.6
25/01/05;1;2:15;106;0.3;0.1;0.2
25/01/05;1;2:16;107;0.8;0.1;0.7
25/01/05;1;2:17;108;0.7;0.1;0.6
25/01/05;1;2:18;109;0.7;0.1;0.6
25/01/05;1;2:19;110;0.8;0.3;0.5
25/01/05;1;2:20;111;0.8;0.2;0.6
25/01/05;1;2:21;112;0.7;0.2;0.5
25/01/05;1;2:22;113;0.7;0.2;0.5
25/01/05;1;2:23;114;0.8;0.3;0.5
25/01/05;1;2:24;115;0.8;0;0.8
25/01/05;1;2:25;116;-0.3;0.1;-0.4
25/01/05;1;2:26;117;0.7;0.1;0.6
25/01/05;1;2:27;118;0.7;0.1;0.6
